category,name,rating,number_of_reviews,love,price,value_price,URL,ingredients,online_only,brand,main_accords,notes
Perfume,amber musk,4.5,77,5600,130.0,130.0,https://www.sephora.com/product/amber-musk-P388770?icid2=products grid:p388770,"Alcohol Denat.- Amber Musk Fragrance- Water- Butyl Methoxydibenzoylmethane- Hydroxycitronellal- Benzyl Salicylate- Geraniol- Coumarin- Citral- Benzyl Benzoate.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
",1,Aerin Lauder,"[""musky"", ""amber"", ""balsamic"", ""coconut"", ""rose"", ""warm spicy""]","[""Ambroxan"", ""Coconut"", ""Rose"", ""Benzoin"", ""Musk"", ""Sandalwood"", ""Lily-of-the-Valley""]"
Perfume,gardenia rattan,4.0,17,1800,130.0,130.0,https://www.sephora.com/product/gardenia-rattan-P388764?icid2=products grid:p388764,Alcohol Denat.- Gardenia Rattan Fragrance- Water- Benzyl Salicylate- Butylphenyl Methylpropional- Butyl Methoxydibenzoylmethane- Ethylhexyl Methoxycinnamate- Ethylhexyl Salicylate- Limonene- Linalool- Hydroxycitronellal- Citronellol- Benzyl Benzoate- Coumarin- Geraniol- Farnesol- Citral- Isoeugenol- Benzyl Alcohol- Eugenol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,1,Aerin Lauder,"[""white floral"", ""marine"", ""animalic"", ""tuberose"", ""aromatic""]","{""middle"": [""Gardenia"", ""Tuberose"", ""Tahitian Tiare Flower""], ""base"": [""Musk""], ""top"": [""Sea water"", ""Peony""]}"
Perfume,ikat jasmine,4.5,52,4700,180.0,180.0,https://www.sephora.com/product/ikat-jasmine-P388762?icid2=products grid:p388762,Alcohol Denat.- Ikat Jasmine Fragrance- Water- Linalool- Hydroxycitronellal- Limonene- Butyl Methoxydibenzoylmethane- Citronellol- Benzyl Benzoate- Benzyl Alcohol- Citral- Farnesol- Geraniol- Eugenol- Cinnamyl Alcohol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,1,Aerin Lauder,"[""white floral"", ""tuberose"", ""animalic"", ""woody"", ""balsamic""]","[""Jasmine"", ""Egyptian Jasmine"", ""Tuberose"", ""Honeysuckle"", ""Sandalwood"", ""Ambroxan""]"
Perfume,iris meadow,4.5,9,1400,130.0,130.0,https://www.sephora.com/product/iris-meadow-P395766?icid2=products grid:p395766,Alcohol Denat.- Fragrance- Water- Butyl Methoxydibenzoylmethane- Linalool- Hexyl Cinnamal- Hydroxycitronellal- Benzyl Benzoate- Geraniol- Limonene- Coumarin- Citronellol- Citral- Amyl Cinnamal- Farnesol- Butylphenyl Methylpropional.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,1,Aerin Lauder,"[""woody"", ""green"", ""powdery"", ""floral"", ""musky""]","{""middle"": [""iris"", ""Jasmine""], ""base"": [""Cedar"", ""Musk""], ""top"": [""Green Notes"", ""Black Currant""]}"
Perfume,lilac path,4.5,63,3800,130.0,130.0,https://www.sephora.com/product/lilac-path-P388766?icid2=products grid:p388766,Alcohol Denat.- Lilac Path Fragrance- Water- Linalool- Butylphenyl Methylpropional- Benzyl Salicylate- Butyl Methoxydibenzoylmethane- Ethylhexyl Methoxycinnamate- Hydroxycitronellal- Ethylhexyl Salicylate- Citronellol- Geraniol- Benzyl Benzoate- Benzyl Alcohol- Citral- Farnesol- Cinnamyl Alcohol- Isoeugenol- Eugenol- Limonene.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,1,Aerin Lauder,"[""white floral"", ""floral"", ""green"", ""musky"", ""fresh""]","[""Galbanum"", ""Angelica"", ""Jasmine"", ""Orange Blossom"", ""Lilac"", ""Honeysuckle""]"
Perfume,mediterranean honeysuckle,4.0,91,8000,130.0,130.0,https://www.sephora.com/product/mediterranean-honeysuckle-P405269?icid2=products grid:p405269,Alcohol Denat.- Fragrance- Water- Butylphenyl Methylpropional- Butyl Methoxydibenzoylmethane- Limonene- Hydroxycitronellal- Geraniol- Linalool- Citral- Citronellol- Benzyl Alcohol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,1,Aerin Lauder,"[""citrus"", ""white floral"", ""fresh spicy"", ""floral"", ""fruity""]","[""Honeysuckle"", ""Grapefruit"", ""Bergamot"", ""Mandarin Orange"", ""Lily-of-the-Valley"", ""Gardenia"", ""Jasmine Sambac""]"
Perfume,tangier vanille,3.5,33,1500,130.0,130.0,https://www.sephora.com/product/tangier-vanille-P410846?icid2=products grid:p410846,Alcohol Denat.- Fragrance- Water- Ethylhexyl Methoxycinnamate- Butyl Methoxydibenzoylmethane- Ethylhexyl Salicylate- Geraniol- Limonene- Linalool- Coumarin- Citral- Benzyl Benzoate- Citronellol- Bht.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,1,Aerin Lauder,"[""vanilla"", ""powdery"", ""amber"", ""woody"", ""balsamic""]","{""middle"": [""Amber""], ""base"": [""Sandalwood"", ""Musk""], ""top"": [""Vanilla"", ""Bergamot"", ""Rose""]}"
Cologne,vintage,5.0,139,2100,72.0,72.0,https://www.sephora.com/product/vintage-P158521?icid2=products grid:p158521,Alcohol Denat- Water- Fragrance- Benzyl Benzoate- Butylphenyl Methylpropional- Cinnamal-  Citral- Citronellol- Coumarin- Eugenol- Geraniol- Isoeugenol- Limonene- Linalool.,0,American Eagle,"[""woody"", ""warm spicy"", ""powdery"", ""balsamic"", ""patchouli"", ""citrus""]","[""Citruses"", ""Spicy Notes"", ""Cedar"", ""Cypress"", ""Patchouli"", ""Sandalwood"", ""Suede""]"
Perfume,citrine,4.5,265,8600,74.0,74.0,https://www.sephora.com/product/citrine-P406775?icid2=products grid:p406775,Alcohol Denat.- Fragrance- Water- BHT- Ethylhexyl Methoxycinnamate- Butyl Methoxydibenzoylmethane- Ethylhexyl Salicylate- Benzyl Alcohol- Benzyl Salicylate- Citral- Citronellol- Geraniol- Hexyl Cinnamal- Hydroxycitronellal- Limonene- Linalool.,0,Anthropologie,"[""sweet"", ""fruity"", ""white floral"", ""vanilla"", ""rose""]","[""Peach"", ""Raspberry"", ""Mandarin Blossom"", ""Jasmine"", ""Rose"", ""Vanilla""]"
Cologne,eros,4.5,322,19500,118.0,172.0,https://www.sephora.com/product/eros-P382751?icid2=products grid:p382751,"Alcohol- Denat. (Sd Alcohol 39 C)- Fragrance- Water- Limonene- 
Ethylhexylmethoxycinnamate/Butylmethoxydibenzoylimethane/Ethylhexylsalicylate- 
Coumarin- Linalool- Alpha-Isomethyl Ionone- Citronellol- Citral- Geraniol- Cinnamal- Eugenol. ",0,Artemisia Natural Perfume,"[""woody"", ""earthy"", ""powdery"", ""floral"", ""rose""]","[""Rose"", ""Vetiver"", ""Oakmoss"", ""Violet"", ""Orris Root"", ""Soil tincture""]"
Perfume,citrine,4.5,265,8600,74.0,74.0,https://www.sephora.com/product/citrine-P406775?icid2=products grid:p406775,Alcohol Denat.- Fragrance- Water- BHT- Ethylhexyl Methoxycinnamate- Butyl Methoxydibenzoylmethane- Ethylhexyl Salicylate- Benzyl Alcohol- Benzyl Salicylate- Citral- Citronellol- Geraniol- Hexyl Cinnamal- Hydroxycitronellal- Limonene- Linalool.,0,Ava Luxe,"[""vanilla"", ""sweet"", ""citrus"", ""milky"", ""musky"", ""fresh""]","{""middle"": [""Vanilla"", ""Whipped cream""], ""base"": [""Musk""], ""top"": [""Citruses""]}"
Cologne,noir,4.5,62,2500,128.0,128.0,https://www.sephora.com/product/noir-P376714?icid2=products grid:p376714,Alcohol Denat.- Water- Fragrance- Linalool- Limonene- Citronellol- Cinnamyl Alcohol- Benzyl Benzoate- Hydroxycitronellal- Alpha-Isomethyl Ionone- Coumarin- Geraniol- Citral- Benzyl Alcohol- Farnesol- Eugenol ,0,Bath and Body Works,"[""aromatic"", ""woody"", ""amber"", ""musky"", ""vanilla"", ""fresh spicy""]","{""middle"": [""Lavender"", ""African Orange flower"", ""Cardamom""], ""base"": [""vetyver"", ""Woodsy Notes"", ""Amber"", ""Vanille"", ""Musk""], ""top"": [""Rosemary"", ""Coriander"", ""Bergamot"", ""Clary Sage""]}"
Perfume,evening rose,4.5,23,2900,130.0,130.0,https://www.sephora.com/product/evening-rose-P388768?icid2=products grid:p388768,Alcohol Denat.- Evening Rose Fragrance Fragrance- Water- Geraniol- Citronellol- Benzyl Benzoate- Limonene- Benzyl Alcohol- Eugenol- Linalool- Farnesol- Citral- Cinnamal.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,1,Aerin Lauder,"[""rose"", ""balsamic"", ""fruity"", ""smoky"", ""warm spicy""]","[""Blackberry"", ""Bulgarian Rose"", ""Rose de Mai"", ""Cognac"", ""Incense"", ""Pepper"", ""Amber""]"
